
================================================================================
Started Logging:     25.09.2024  13:26
Quantum Version:     Not available
================================================================================

25.09.2024 13:26:21 QC-Terminal: Serial port COM2

25.09.2024 13:26:28 QC-Terminal: Serial port COM3
help

WAR 08:47:40:777  01 Access_Para PG not mapped
WAR 08:47:40:837  01 Access_Para PG not mapped
WAR 08:47:40:941  01 Access_Para PG not mapped
WAR 08:47:41:002  01 Access_Para PG not mapped
WAR 08:47:41:107  01 Access_Para PG not mapped
WAR 08:47:41:167  01 Access_Para PG not mapped
WAR 08:47:41:272  01 Access_Para PG not mapped
WAR 08:47:41:331  01 Access_Para PG not mapped
WAR 08:47:41:392  01 Access_Para PG not mapped
WAR 08:47:41:497  01 Access_Para PG not mapped
WAR 08:47:41:557  01 Access_Para PG not mapped
WAR 08:47:41:617  01 Access_Para PG not mapped
WAR 08:47:41:677  01 Access_Para PG not mapped
WAR 08:47:41:737  01 Access_Para PG not mapped
WAR 08:47:41:797  01 Access_Para PG not mapped
WAR 08:47:41:857  01 Access_Para PG not mapped
WAR 08:47:41:917  01 Access_Para PG not mapped
WAR 08:47:41:977  01 Access_Para PG not mapped
WAR 08:47:42:037  01 Access_Para PG not mapped
WAR 08:47:42:097  01 Access_Para PG not mapped
WAR 08:47:42:157  01 Access_Para PG not mapped
WAR 08:47:42:217  01 Access_Para PG not mapped
WAR 08:47:42:277  01 Access_Para PG not mapped
WAR 08:47:42:337  01 Access_Para PG not mapped
WAR 08:47:42:397  01 Access_Para PG not mapped
WAR 08:47:42:457  01 Access_Para PG not mapped
WAR 08:47:42:517  01 Access_Para PG not mapped
WAR 08:47:42:577  01 Access_Para PG not mapped
WAR 08:47:42:637  01 Access_Para PG not mapped
WAR 08:47:42:697  01 Access_Para PG not mapped
WAR 08:47:43:007  01 Access_Para PG not mapped
WAR 08:47:43:067  01 Access_Para PG not mapped
WAR 08:47:43:127  01 Access_Para PG not mapped
WAR 08:47:43:187  01 Access_Para PG not mapped
WAR 08:47:43:247  01 Access_Para PG not mapped
WAR 08:47:43:307  01 Access_Para PG not mapped
WAR 08:47:43:367  01 Access_Para PG not mapped
WAR 08:47:43:427  01 Access_Para PG not mapped
WAR 08:47:43:487  01 Access_Para PG not mapped
WAR 08:47:43:547  01 Access_Para PG not mapped
WAR 08:47:43:607  01 Access_Para PG not mapped
WAR 08:47:43:667  01 Access_Para PG not mapped
WAR 08:47:43:727  01 Access_Para PG not mapped
WAR 08:47:43:787  01 Access_Para PG not mapped
WAR 08:47:43:891  01 Access_Para PG not mapped
WAR 08:47:43:952  01 Access_Para PG not mapped
WAR 08:47:44:057  01 Access_Para PG not mapped
WAR 08:47:44:117  01 Access_Para PG not mapped
WAR 08:47:44:222  01 Access_Para PG not mapped
WAR 08:47:44:282  01 Access_Para PG not mapped
WAR 08:47:44:387  01 Access_Para PG not mapped
WAR 08:47:44:447  01 Access_Para PG not mapped
WAR 08:47:44:551  01 Access_Para PG not mapped
WAR 08:47:44:612  01 Access_Para PG not mapped
WAR 08:47:44:717  01 Access_Para PG not mapped
WAR 08:47:44:777  01 Access_Para PG not mapped
WAR 08:47:44:881  01 Access_Para PG not mapped
WAR 08:47:44:942  01 Access_Para PG not mapped
WAR 08:47:45:047  01 Access_Para PG not mapped
WAR 08:47:45:107  01 Access_Para PG not mapped
WAR 08:47:45:211  01 Access_Para PG not mapped
WAR 08:47:45:272  01 Access_Para PG not mapped
WAR 08:47:45:377  01 Access_Para PG not mapped
WAR 08:47:45:437  01 Access_Para PG not mapped
WAR 08:47:45:541  01 Access_Para PG not mapped
WAR 08:47:45:602  01 Access_Para PG not mapped
WAR 08:47:45:707  01 Access_Para PG not mapped
WAR 08:47:45:767  01 Access_Para PG not mapped
WAR 08:47:45:827  01 Access_Para PG not mapped
